id,name,age_group,pop_2022
0180,Stockholm,95-99 years,1885
0180,Stockholm,100+ years,310
0181,Södertälje,0-4 years,5953
0181,Södertälje,5-9 years,6274
0181,Södertälje,10-14 years,6432
0181,Södertälje,15-19 years,6373
0181,Södertälje,20-24 years,5781
0181,Södertälje,25-29 years,7069
0181,Södertälje,30-34 years,8055
0181,Södertälje,35-39 years,7323
0181,Södertälje,40-44 years,7030
0181,Södertälje,45-49 years,6645
0181,Södertälje,50-54 years,6976
0181,Södertälje,55-59 years,6610
0181,Södertälje,60-64 years,5497
0181,Södertälje,65-69 years,4489
0181,Södertälje,70-74 years,3801
0181,Södertälje,75-79 years,3621
0181,Södertälje,80-84 years,2452
0181,Södertälje,85-89 years,1343
0181,Södertälje,90-94 years,539
0181,Södertälje,95-99 years,153
0181,Södertälje,100+ years,10
0182,Nacka,0-4 years,6752
0182,Nacka,5-9 years,7524
0182,Nacka,10-14 years,7788
0182,Nacka,15-19 years,7494
0182,Nacka,20-24 years,4929
0182,Nacka,25-29 years,5534
0182,Nacka,30-34 years,7309
0182,Nacka,35-39 years,7409
0182,Nacka,40-44 years,7754
0182,Nacka,45-49 years,8258
0182,Nacka,50-54 years,7745
0182,Nacka,55-59 years,7290
0182,Nacka,60-64 years,5383
0182,Nacka,65-69 years,4563
0182,Nacka,70-74 years,4376
0182,Nacka,75-79 years,4511
0182,Nacka,80-84 years,2579
0182,Nacka,85-89 years,1395
0182,Nacka,90-94 years,660
0182,Nacka,95-99 years,206
0182,Nacka,100+ years,27
0183,Sundbyberg,0-4 years,3462
0183,Sundbyberg,5-9 years,2983
0183,Sundbyberg,10-14 years,2835
0183,Sundbyberg,15-19 years,2264
0183,Sundbyberg,20-24 years,2446
0183,Sundbyberg,25-29 years,5468
0183,Sundbyberg,30-34 years,6658
0183,Sundbyberg,35-39 years,5023
0183,Sundbyberg,40-44 years,3966
0183,Sundbyberg,45-49 years,3403
0183,Sundbyberg,50-54 years,3114
0183,Sundbyberg,55-59 years,2918
0183,Sundbyberg,60-64 years,2473
0183,Sundbyberg,65-69 years,2197
0183,Sundbyberg,70-74 years,1824
0183,Sundbyberg,75-79 years,1509
0183,Sundbyberg,80-84 years,825
0183,Sundbyberg,85-89 years,425
0183,Sundbyberg,90-94 years,199
0183,Sundbyberg,95-99 years,66
0183,Sundbyberg,100+ years,12
0184,Solna,0-4 years,5047
0184,Solna,5-9 years,4087
0184,Solna,10-14 years,3609
0184,Solna,15-19 years,3138
0184,Solna,20-24 years,4726
0184,Solna,25-29 years,9246
0184,Solna,30-34 years,10367
0184,Solna,35-39 years,8271
0184,Solna,40-44 years,6136
0184,Solna,45-49 years,5006
0184,Solna,50-54 years,4461
0184,Solna,55-59 years,4602
0184,Solna,60-64 years,3797
0184,Solna,65-69 years,3330
0184,Solna,70-74 years,3171
0184,Solna,75-79 years,3019
0184,Solna,80-84 years,1766
0184,Solna,85-89 years,967
0184,Solna,90-94 years,503
0184,Solna,95-99 years,183
0184,Solna,100+ years,18
0186,Lidingö,0-4 years,2430
0186,Lidingö,5-9 years,3193
0186,Lidingö,10-14 years,3390
0186,Lidingö,15-19 years,3445
0186,Lidingö,20-24 years,2221
0186,Lidingö,25-29 years,2124
0186,Lidingö,30-34 years,2697
0186,Lidingö,35-39 years,2822
0186,Lidingö,40-44 years,3284
0186,Lidingö,45-49 years,3498
0186,Lidingö,50-54 years,3474
0186,Lidingö,55-59 years,3116
0186,Lidingö,60-64 years,2554
0186,Lidingö,65-69 years,2270
0186,Lidingö,70-74 years,2261
0186,Lidingö,75-79 years,2545
0186,Lidingö,80-84 years,1542
0186,Lidingö,85-89 years,904
0186,Lidingö,90-94 years,476
0186,Lidingö,95-99 years,165
0186,Lidingö,100+ years,21
0187,Vaxholm,0-4 years,507
0187,Vaxholm,5-9 years,739
0187,Vaxholm,10-14 years,856
0187,Vaxholm,15-19 years,909
0187,Vaxholm,20-24 years,487
0187,Vaxholm,25-29 years,386
0187,Vaxholm,30-34 years,489
0187,Vaxholm,35-39 years,541
0187,Vaxholm,40-44 years,701
0187,Vaxholm,45-49 years,875
0187,Vaxholm,50-54 years,984
0187,Vaxholm,55-59 years,914
0187,Vaxholm,60-64 years,759
0187,Vaxholm,65-69 years,653
0187,Vaxholm,70-74 years,714
0187,Vaxholm,75-79 years,774
0187,Vaxholm,80-84 years,357
0187,Vaxholm,85-89 years,164
0187,Vaxholm,90-94 years,63
0187,Vaxholm,95-99 years,23
0187,Vaxholm,100+ years,4
0188,Norrtälje,0-4 years,3153
0188,Norrtälje,5-9 years,3470
0188,Norrtälje,10-14 years,3381
0188,Norrtälje,15-19 years,3217
0188,Norrtälje,20-24 years,2792
0188,Norrtälje,25-29 years,3385
0188,Norrtälje,30-34 years,4255
0188,Norrtälje,35-39 years,3750
0188,Norrtälje,40-44 years,3502
0188,Norrtälje,45-49 years,3433
0188,Norrtälje,50-54 years,3946
0188,Norrtälje,55-59 years,4747
0188,Norrtälje,60-64 years,4419
0188,Norrtälje,65-69 years,4383
0188,Norrtälje,70-74 years,4467
0188,Norrtälje,75-79 years,4525
0188,Norrtälje,80-84 years,2633
0188,Norrtälje,85-89 years,1335
0188,Norrtälje,90-94 years,632
0188,Norrtälje,95-99 years,144
0188,Norrtälje,100+ years,18
0191,Sigtuna,0-4 years,3386
0191,Sigtuna,5-9 years,3646
0191,Sigtuna,10-14 years,3523
0191,Sigtuna,15-19 years,3295
0191,Sigtuna,20-24 years,2819
0191,Sigtuna,25-29 years,3289
0191,Sigtuna,30-34 years,3959
0191,Sigtuna,35-39 years,3975
0191,Sigtuna,40-44 years,3768
0191,Sigtuna,45-49 years,3528
0191,Sigtuna,50-54 years,3456
0191,Sigtuna,55-59 years,3312
0191,Sigtuna,60-64 years,2470
0191,Sigtuna,65-69 years,1985
0191,Sigtuna,70-74 years,1706
0191,Sigtuna,75-79 years,1687
0191,Sigtuna,80-84 years,1177
0191,Sigtuna,85-89 years,625
0191,Sigtuna,90-94 years,220
0191,Sigtuna,95-99 years,44
0191,Sigtuna,100+ years,6
0192,Nynäshamn,0-4 years,1626
0192,Nynäshamn,5-9 years,1848
0192,Nynäshamn,10-14 years,1751
0192,Nynäshamn,15-19 years,1622
0192,Nynäshamn,20-24 years,1380
0192,Nynäshamn,25-29 years,1634
0192,Nynäshamn,30-34 years,2198
0192,Nynäshamn,35-39 years,1849
0192,Nynäshamn,40-44 years,1743
0192,Nynäshamn,45-49 years,1840
0192,Nynäshamn,50-54 years,2031
0192,Nynäshamn,55-59 years,2130
0192,Nynäshamn,60-64 years,1706
0192,Nynäshamn,65-69 years,1666
0192,Nynäshamn,70-74 years,1596
0192,Nynäshamn,75-79 years,1684
0192,Nynäshamn,80-84 years,1006
0192,Nynäshamn,85-89 years,478
0192,Nynäshamn,90-94 years,203
0192,Nynäshamn,95-99 years,49
0192,Nynäshamn,100+ years,3
0305,Håbo,0-4 years,1294
0305,Håbo,5-9 years,1565
0305,Håbo,10-14 years,1550
0305,Håbo,15-19 years,1576
0305,Håbo,20-24 years,1138
0305,Håbo,25-29 years,1074
0305,Håbo,30-34 years,1521
0305,Håbo,35-39 years,1422
0305,Håbo,40-44 years,1421
0305,Håbo,45-49 years,1658
0305,Håbo,50-54 years,1728
0305,Håbo,55-59 years,1639
0305,Håbo,60-64 years,1133
0305,Håbo,65-69 years,932
0305,Håbo,70-74 years,1014
0305,Håbo,75-79 years,1099
0305,Håbo,80-84 years,634
0305,Håbo,85-89 years,241
0305,Håbo,90-94 years,99
0305,Håbo,95-99 years,24
0305,Håbo,100+ years,3
0319,Älvkarleby,0-4 years,502
0319,Älvkarleby,5-9 years,543
0319,Älvkarleby,10-14 years,606
0319,Älvkarleby,15-19 years,560
0319,Älvkarleby,20-24 years,405
0319,Älvkarleby,25-29 years,469
0319,Älvkarleby,30-34 years,621
0319,Älvkarleby,35-39 years,528
0319,Älvkarleby,40-44 years,486
0319,Älvkarleby,45-49 years,594
0319,Älvkarleby,50-54 years,616
0319,Älvkarleby,55-59 years,701
0319,Älvkarleby,60-64 years,618
0319,Älvkarleby,65-69 years,603
0319,Älvkarleby,70-74 years,588
0319,Älvkarleby,75-79 years,565
0319,Älvkarleby,80-84 years,342
0319,Älvkarleby,85-89 years,192
0319,Älvkarleby,90-94 years,49
0319,Älvkarleby,95-99 years,35
0319,Älvkarleby,100+ years,2
0330,Knivsta,0-4 years,1362
0330,Knivsta,5-9 years,1637
0330,Knivsta,10-14 years,1586
0330,Knivsta,15-19 years,1494
0330,Knivsta,20-24 years,948
0330,Knivsta,25-29 years,945
0330,Knivsta,30-34 years,1511
0330,Knivsta,35-39 years,1507
0330,Knivsta,40-44 years,1499
0330,Knivsta,45-49 years,1565
0330,Knivsta,50-54 years,1331
0330,Knivsta,55-59 years,1146
0330,Knivsta,60-64 years,825
0330,Knivsta,65-69 years,723
0330,Knivsta,70-74 years,800
0330,Knivsta,75-79 years,659
0330,Knivsta,80-84 years,340
0330,Knivsta,85-89 years,159
0330,Knivsta,90-94 years,77
0330,Knivsta,95-99 years,18
0330,Knivsta,100+ years,1
0331,Heby,0-4 years,726
0331,Heby,5-9 years,855
0331,Heby,10-14 years,849
0331,Heby,15-19 years,787
0331,Heby,20-24 years,647
0331,Heby,25-29 years,775
0331,Heby,30-34 years,988
0331,Heby,35-39 years,851
0331,Heby,40-44 years,779
0331,Heby,45-49 years,752
0331,Heby,50-54 years,851
0331,Heby,55-59 years,994
0331,Heby,60-64 years,991
0331,Heby,65-69 years,945
0331,Heby,70-74 years,896
0331,Heby,75-79 years,764
0331,Heby,80-84 years,505
0331,Heby,85-89 years,307
0331,Heby,90-94 years,134
0331,Heby,95-99 years,23
0331,Heby,100+ years,2
0360,Tierp,0-4 years,1153
0360,Tierp,5-9 years,1322
0360,Tierp,10-14 years,1262
0360,Tierp,15-19 years,1178
0360,Tierp,20-24 years,930
0360,Tierp,25-29 years,1146
0360,Tierp,30-34 years,1391
0360,Tierp,35-39 years,1309
0360,Tierp,40-44 years,1137
0360,Tierp,45-49 years,1258
0360,Tierp,50-54 years,1348
0360,Tierp,55-59 years,1473
0360,Tierp,60-64 years,1312
0360,Tierp,65-69 years,1253
0360,Tierp,70-74 years,1266
0360,Tierp,75-79 years,1214
0360,Tierp,80-84 years,758
0360,Tierp,85-89 years,418
0360,Tierp,90-94 years,216
0360,Tierp,95-99 years,55
0360,Tierp,100+ years,7
0380,Uppsala,0-4 years,13036
0380,Uppsala,5-9 years,13704
0380,Uppsala,10-14 years,13815
0380,Uppsala,15-19 years,13473
0380,Uppsala,20-24 years,22348
0380,Uppsala,25-29 years,21538
0380,Uppsala,30-34 years,20052
0380,Uppsala,35-39 years,17082
0380,Uppsala,40-44 years,14590
0380,Uppsala,45-49 years,14164
0380,Uppsala,50-54 years,13158
0380,Uppsala,55-59 years,13181
0380,Uppsala,60-64 years,10934
0380,Uppsala,65-69 years,10750
0380,Uppsala,70-74 years,10210
