country_name,region_code,region_name,year,k_passengers
Germany,DEZZ,Extra-Regio NUTS 2,2009,21
Denmark,DK01,Hovedstaden,2009,19609
Denmark,DK02,Sjælland,2009,8
Denmark,DK03,Syddanmark,2009,2391
Denmark,DK04,Midtjylland,2009,689
Denmark,DK05,Nordjylland,2009,1117
Estonia,EE00,Eesti,2009,1341
Greece,EL30,Αττική,2009,16216
Greece,EL41,Βόρειο Αιγαίο,2009,1517
Greece,EL42,Νότιο Αιγαίο,2009,6527
Greece,EL43,Κρήτη,2009,6947
Greece,EL51,"Ανατολική Μακεδονία, Θράκη",2009,663
Greece,EL52,Κεντρική Μακεδονία,2009,4208
Greece,EL53,Δυτική Μακεδονία,2009,9
Greece,EL54,Ήπειρος,2009,138
Greece,EL61,Θεσσαλία,2009,293
Greece,EL62,Ιόνια Νησιά,2009,3105
Greece,EL63,Δυτική Ελλάδα,2009,411
Greece,EL64,Στερεά Ελλάδα,2009,13
Greece,EL65,Πελοπόννησος,2009,77
Spain,ES11,Galicia,2009,4084
Spain,ES12,Principado de Asturias,2009,1310
Spain,ES13,Cantabria,2009,957
Spain,ES21,País Vasco,2009,3984
Spain,ES22,Comunidad Foral de Navarra,2009,325
Spain,ES24,Aragón,2009,529
Spain,ES30,Comunidad de Madrid,2009,47944
Spain,ES41,Castilla y León,2009,357
Spain,ES51,Cataluña,2009,34234
Spain,ES52,Comunidad Valenciana,2009,13838
Spain,ES53,Illes Balears,2009,27515
Spain,ES61,Andalucía,2009,18592
Spain,ES62,Región de Murcia,2009,1631
Spain,ES64,Ciudad Autónoma de Melilla,2009,286
Spain,ES70,Canarias,2009,26223
Finland,FI19,Länsi-Suomi,2009,1214
Finland,FI1B,Helsinki-Uusimaa,2009,12602
Finland,FI1C,Etelä-Suomi,2009,292
Finland,FI1D,Pohjois- ja Itä-Suomi,2009,2062
Finland,FI20,Åland,2009,56
Finland,FIZZ,Extra-Regio NUTS 2,2009,0
France,FR10,Île-de-France,2009,82776
France,FRB0,Centre-Val de Loire,2009,112
France,FRC1,Bourgogne,2009,-
France,FRD1,Basse-Normandie,2009,166
France,FRD2,Haute-Normandie,2009,68
France,FRE1,Nord-Pas-de-Calais,2009,1134
France,FRE2,Picardie,2009,2592
France,FRF1,Alsace,2009,4934
France,FRF2,Champagne-Ardenne,2009,3
France,FRF3,Lorraine,2009,229
France,FRG0,Pays-de-la-Loire,2009,2574
France,FRH0,Bretagne,2009,1732
France,FRI1,Aquitaine,2009,5260
France,FRI2,Limousin,2009,369
France,FRI3,Poitou-Charentes,2009,301
France,FRJ1,Languedoc-Roussillon,2009,2367
France,FRJ2,Midi-Pyrénées,2009,6866
France,FRK1,Auvergne,2009,411
France,FRK2,Rhône-Alpes,2009,8358
France,FRL0,Provence-Alpes-Côte d’Azur,2009,17567
France,FRM0,Corse,2009,2780
France,FRY1,Guadeloupe,2009,1882
France,FRY2,Martinique,2009,1495
France,FRY3,Guyane,2009,394
France,FRY4,La Réunion,2009,1776
France,FRY5,Mayotte,2009,-
Croatia,HR03,Jadranska Hrvatska,2009,2801
Croatia,HR04,Kontinentalna Hrvatska,2009,1997
Hungary,HU11,Budapest,2009,8081
Hungary,HU32,Észak-Alföld,2009,-
Ireland,IE04,Northern and Western,2009,802
Ireland,IE05,Southern,2009,5557
Ireland,IE06,Eastern and Midland,2009,20469
,IS00,,2009,1837
Italy,ITC1,Piemonte,2009,3208
Italy,ITC3,Liguria,2009,1119
Italy,ITC4,Lombardia,2009,32984
Italy,ITF1,Abruzzo,2009,408
Italy,ITF3,Campania,2009,5289
Italy,ITF4,Puglia,2009,3954
Italy,ITF6,Calabria,2009,2074
Italy,ITG1,Sicilia,2009,11444
Italy,ITG2,Sardegna,2009,6378
Italy,ITH1,Provincia Autonoma di Bolzano/Bozen (1),2009,51
Italy,ITH3,Veneto,2009,11472
Italy,ITH4,Friuli-Venezia Giulia,2009,692
Italy,ITH5,Emilia-Romagna,2009,5915
Italy,ITI1,Toscana,2009,5676
Italy,ITI2,Umbria,2009,118
Italy,ITI3,Marche,2009,420
Italy,ITI4,Lazio,2009,38172
Lithuania,LT01,Sostinės regionas,2009,1306
Lithuania,LT02,Vidurio ir vakarų Lietuvos regionas,2009,562
Luxembourg,LU00,Luxembourg,2009,1535
Latvia,LV00,Latvija,2009,4063
Malta,MT00,Malta,2009,2919
Netherlands,NL13,Drenthe,2009,137
Netherlands,NL32,Noord-Holland,2009,43532
Netherlands,NL33,Zuid-Holland,2009,927
Netherlands,NL41,Noord-Brabant,2009,1745
Netherlands,NL42,Limburg (NL),2009,138
,NO01,,2009,18183
,NO02,,2009,-
,NO03,,2009,2441
,NO04,,2009,4731
,NO05,,2009,5601
,NO06,,2009,3419
,NO07,,2009,3874
Poland,PL21,Małopolskie,2009,2659
Poland,PL22,Śląskie,2009,2336
Poland,PL41,Wielkopolskie,2009,1196
Poland,PL42,Zachodniopomorskie,2009,-
Poland,PL51,Dolnośląskie,2009,1324
Poland,PL61,Kujawsko-pomorskie,2009,-
Poland,PL63,Pomorskie,2009,1888
Poland,PL71,Łódzkie,2009,-
Poland,PL82,Podkarpackie,2009,-
Poland,PL91,Warszawski stołeczny,2009,8333
Portugal,PT11,Norte,2009,4509
Portugal,PT15,Algarve,2009,5062
Portugal,PT16,Centro (PT),2009,-
Portugal,PT17,Área Metropolitana de Lisboa,2009,13265
Portugal,PT18,Alentejo,2009,-
Portugal,PT20,Região Autónoma dos Açores,2009,1370
Portugal,PT30,Região Autónoma da Madeira,2009,2405
Romania,RO11,Nord-Vest,2009,860
Romania,RO12,Centru,2009,-
Romania,RO21,Nord-Est,2009,-
Romania,RO22,Sud-Est,2009,-
Romania,RO32,București-Ilfov,2009,6454
Romania,RO41,Sud-Vest Oltenia,2009,-
Romania,RO42,Vest,2009,981
Sweden,SE11,Stockholm,2009,18031
Sweden,SE12,Östra Mellansverige,2009,2699
Sweden,SE21,Småland med öarna,2009,609
Sweden,SE22,Sydsverige,2009,2082
Sweden,SE23,Västsverige,2009,4418
Sweden,SE31,Norra Mellansverige,2009,85
Sweden,SE32,Mellersta Norrland,2009,580
Sweden,SE33,Övre Norrland,2009,2151
Slovenia,SI04,Zahodna Slovenija,2009,1423
Slovakia,SK01,Bratislavský kraj,2009,1701
Slovakia,SK04,Východné Slovensko,2009,348
United Kingdom,UKC1,Tees Valley and Durham,2009,288
United Kingdom,UKC2,Northumberland and Tyne and Wear,2009,4569
United Kingdom,UKD3,Greater Manchester,2009,18630
United Kingdom,UKD4,Lancashire,2009,277
United Kingdom,UKD7,Merseyside,2009,4879
United Kingdom,UKE1,East Yorkshire and Northern Lincolnshire,2009,335
United Kingdom,UKE3,South Yorkshire,2009,835
United Kingdom,UKE4,West Yorkshire,2009,2553
United Kingdom,UKF2,"Leicestershire, Rutland and Northamptonshire",2009,4653
United Kingdom,UKG1,"Herefordshire, Worcestershire and Warwickshire",2009,0
United Kingdom,UKG3,West Midlands,2009,9092
United Kingdom,UKH1,East Anglia,2009,431
United Kingdom,UKH2,Bedfordshire and Hertfordshire,2009,9115
United Kingdom,UKH3,Essex,2009,19953
United Kingdom,UKI4,Inner London — East,2009,2797
United Kingdom,UKI6,Outer London — South,2009,-
United Kingdom,UKI7,Outer London — West and North West,2009,65904
United Kingdom,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2009,1
United Kingdom,UKJ2,"Surrey, East and West Sussex",2009,32360
