date,dead,injured,lon,lat
2018-09-17,0,0,13.090509,55.537838
2018-09-17,0,0,12.714441,56.035619
2018-09-18,0,0,13.155253,55.373462
2018-09-18,0,0,13.029489,55.585405
2018-09-19,0,0,17.900379,59.392343
2018-09-19,0,1,17.821621,59.454902
2018-09-19,0,1,14.983926,59.872392
2018-09-19,0,0,19.36963,68.069008
2018-09-20,1,0,11.88809,57.72724
2018-09-21,1,0,18.094733,59.243822
2018-09-21,0,0,17.992767,59.281255
2018-09-22,0,0,17.674186,59.869495
2018-09-23,0,1,14.193198,57.7656
2018-09-25,0,0,13.007922,55.60393
2018-09-26,0,1,18.029648,59.2813
2018-09-29,0,0,13.106806,55.660319
2018-10-01,0,0,13.023734,55.573628
2018-10-01,0,1,17.935092,59.223261
2018-10-02,0,0,16.49673,59.35465
2018-10-04,0,0,12.034811,57.781992
2018-10-05,0,0,12.503524,56.910515
2018-10-05,0,0,17.004769,58.750448
2018-10-08,0,0,12.034884,57.781095
2018-10-08,0,0,17.843785,59.620648
2018-10-12,0,1,16.518829,59.376849
2018-10-13,0,0,11.89235,57.736333
2018-10-13,0,0,17.009104,58.765652
2018-10-13,0,1,18.132622,59.274368
2018-10-14,0,0,12.674649,57.485343
2018-10-14,0,1,18.00647,59.277344
2018-10-15,0,0,16.529182,59.372237
2018-10-18,0,0,11.910803,57.717011
2018-10-19,0,0,13.976702,56.375114
2018-10-21,1,0,17.941632,59.278826
2018-10-22,0,0,13.034156,55.587277
2018-10-22,0,0,17.914794,59.375578
2018-10-23,0,0,13.020069,55.614911
2018-10-24,0,0,17.909527,59.519466
2018-10-25,0,1,11.89152,57.726426
2018-10-26,0,0,15.920492,58.203175
2018-10-27,0,1,18.074133,59.307216
2018-10-30,0,1,12.01219,57.770676
2018-10-31,0,1,18.011894,59.259246
2018-11-03,0,0,12.990449,55.573087
2018-11-03,0,0,13.050324,55.581244
2018-11-03,0,1,13.032525,55.58815
2018-11-03,0,1,12.110556,57.655223
2018-11-04,0,1,18.011894,59.259246
2018-11-06,0,1,18.142143,59.168094
2018-11-06,0,1,17.878806,59.366493
2018-11-06,0,1,17.858558,59.627515
2018-11-06,0,0,17.624021,59.872301
2018-11-08,0,0,13.019431,55.564571
2018-11-08,0,1,13.001224,55.579554
2018-11-08,0,0,12.980524,55.581013
2018-11-08,0,1,14.148412,57.740155
2018-11-08,1,0,17.645857,59.877255
2018-11-08,0,0,17.645857,59.877255
2018-11-09,0,0,13.051598,55.587555
2018-11-09,0,1,12.844726,55.886976
2018-11-09,0,1,11.972523,57.722098
2018-11-12,1,0,17.957051,59.375525
2018-11-12,0,1,20.309325,63.812577
2018-11-12,0,1,16.579286,59.616838
2018-11-14,1,0,11.894873,57.726508
2018-11-16,0,0,18.030611,59.3316
2018-11-17,0,0,13.039137,55.582863
2018-11-17,0,0,17.617441,59.81134
2018-11-18,0,1,18.208246,59.312966
2018-11-19,0,0,11.904357,57.654835
2018-11-21,0,0,13.033621,55.724775
2018-11-21,1,0,16.502599,59.368055
2018-11-29,0,1,18.101211,59.29579
2018-11-30,0,0,17.628055,59.81023
2018-12-02,0,1,13.025281,55.606008
2018-12-02,0,1,17.975241,59.281657
2018-12-02,0,0,17.853708,59.402987
2018-12-03,0,0,13.003939,55.588586
2018-12-04,0,0,20.306965,63.810864
2018-12-05,0,0,17.842333,59.056392
2018-12-05,0,0,17.636872,59.854076
2018-12-06,0,0,17.830864,59.614639
2018-12-07,0,0,13.053791,55.607363
2018-12-07,0,0,17.923291,59.392461
2018-12-08,0,0,12.971764,55.597046
2018-12-10,0,0,11.927413,57.719213
2018-12-10,0,0,15.186031,59.283182
2018-12-11,0,0,11.996911,57.650777
2018-12-12,1,0,13.005342,55.592204
2018-12-14,0,0,13.015175,55.554616
2018-12-14,0,0,17.906075,59.356004
2018-12-16,1,0,18.09155,59.286134
2018-12-17,0,1,17.900202,59.39028
2018-12-18,0,1,17.890961,59.281759
2018-12-20,0,0,14.903958,63.388684
2018-12-20,0,1,20.277434,67.852596
2018-12-22,0,0,21.050047,66.764964
2018-12-24,0,1,13.050324,55.581244
2018-12-24,0,0,11.922115,58.352718
2018-12-26,0,0,17.902037,59.391138
2019-01-01,0,0,13.081235,55.565554
2019-01-01,0,0,17.812408,59.244843
2019-01-02,0,0,21.241972,64.688467
2019-01-04,0,0,17.832788,59.426805
2019-01-07,0,0,17.624071,59.804919
2019-01-08,0,0,14.057057,57.182541
2019-01-10,0,0,14.057079,57.181643
2019-01-10,0,0,21.291853,65.262846
2019-01-11,1,0,15.40253,60.518274
2019-01-12,1,0,17.909455,59.395466
2019-01-18,0,0,14.474762,56.06825
2019-01-18,0,0,22.161701,65.589033
2019-01-23,0,0,20.335162,63.862911
2019-01-24,0,0,13.19676,55.709305
2019-01-26,0,1,17.838928,59.415889
2019-01-27,0,0,17.92683,59.413048
2019-01-27,0,1,17.912895,59.39449
2019-01-27,0,0,17.828472,59.205857
2019-01-27,0,0,15.402218,60.493134
2019-01-29,0,0,15.402085,60.48236
2019-01-30,1,0,17.832189,59.41963
2019-02-01,0,0,15.675481,58.382548
2019-02-01,0,0,12.941821,57.747858
2019-02-08,1,0,17.833567,59.246181
2019-02-09,0,1,18.012252,59.362579
2019-02-11,0,1,17.650873,59.513286
2019-02-12,0,0,13.01916,55.569959
2019-02-13,0,0,13.050351,55.6127
2019-02-15,0,0,12.972922,55.574596
2019-02-16,1,0,17.703353,59.859017
2019-02-16,0,0,13.397781,55.659071
2019-02-16,0,0,17.905938,59.395544
2019-02-17,0,1,17.922982,59.388873
2019-02-18,0,0,16.185172,58.588132
2019-02-19,0,0,12.849369,55.889754
2019-02-21,1,0,17.637103,59.518056
2019-02-21,1,0,17.805139,59.688869
2019-02-22,0,0,17.926499,59.388794
2019-02-24,0,0,17.829493,59.429572
2019-02-24,0,0,14.15923,57.78065
2019-02-25,0,0,18.052042,59.296044
2019-02-25,0,0,16.185172,58.588132
2019-02-28,0,0,13.015174,55.586072
2019-02-28,0,0,18.028613,59.289411
2019-03-01,0,0,17.918341,59.416833
2019-03-01,0,0,17.314813,62.383082
2019-03-01,0,1,14.253313,57.784832
2019-03-03,0,0,14.088856,57.703809
2019-03-04,0,1,15.643155,58.391696
2019-03-07,0,0,17.633802,59.860427
2019-03-09,0,1,11.927233,58.352841
2019-03-09,1,0,18.008302,59.278201
2019-03-12,0,0,12.917029,56.682655
2019-03-16,0,0,17.694013,59.809794
2019-03-18,0,1,17.124067,60.686102
2019-03-19,0,0,17.948706,62.631595
2019-03-20,0,1,17.886746,59.397767
2019-03-22,0,1,12.84108,55.866241
2019-03-24,0,0,17.870698,59.270526
2019-03-27,0,1,16.247734,59.615025
2019-03-31,0,0,17.827399,59.615612
2019-03-31,0,0,12.024016,57.770055
2019-04-01,0,1,17.92107,59.387119
2019-04-02,0,0,12.203268,57.234004
2019-04-03,0,1,12.703109,56.037206
2019-04-05,0,0,17.983901,59.300329
2019-04-06,0,0,12.893714,56.661594
2019-04-06,0,1,17.812555,59.246637
2019-04-07,0,0,12.929826,57.722504
2019-04-10,0,1,13.044072,55.579347
2019-04-10,1,0,17.922816,59.284642
2019-04-11,0,0,16.51495,59.368811
2019-04-11,0,0,18.02415,59.318271
2019-04-13,1,0,17.917327,59.282069
2019-04-14,0,0,18.091426,59.30411
2019-04-14,0,1,11.960746,57.682269
2019-04-15,0,0,18.05029,59.296094
2019-04-15,0,0,12.012413,57.645752
2019-04-15,0,0,12.012413,57.645752
2019-04-16,0,0,17.137097,60.661645
2019-04-16,0,0,20.24466,64.251312
2019-04-17,0,1,15.23488,59.240896
2019-04-18,0,0,17.642785,59.206171
2019-04-18,0,0,12.033412,57.799036
2019-04-18,0,0,23.765994,65.737645
2019-04-20,0,0,13.102795,59.344048
2019-04-20,0,0,13.018074,55.591512
2019-04-21,1,0,12.722635,56.060037
2019-04-25,1,0,14.162911,59.280625
2019-04-26,0,1,16.216189,58.589639
2019-04-30,0,1,16.488131,59.599942
2019-05-02,0,1,13.587994,56.158338
2019-05-03,0,0,11.97493,57.753613
2019-05-03,0,1,13.059836,55.581395
2019-05-04,0,0,17.644703,59.411884
2019-05-04,0,0,14.791552,56.890353
2019-05-04,0,0,11.897817,57.652877
2019-05-05,0,0,11.944327,57.717825
2019-05-08,0,0,24.134367,65.833509
2019-05-09,0,0,17.636605,59.805567
2019-05-12,0,1,17.666294,59.193112
2019-05-12,0,1,22.763918,65.873436
2019-05-14,0,0,23.85646,66.652215
2019-05-14,0,0,15.123447,56.496969
2019-05-15,0,0,17.623066,59.814822
2019-05-17,0,1,12.073735,57.799974
2019-05-18,0,0,22.793948,66.339544
2019-05-18,0,1,17.91111,59.4763
2019-05-19,0,1,13.058428,55.577778
2019-05-20,0,1,11.890767,57.715621
2019-05-20,0,0,23.000414,65.874752
2019-05-20,0,1,16.518709,59.374156
2019-05-21,0,0,17.331159,62.61809
2019-05-21,0,1,14.136549,57.744566
2019-05-21,0,0,14.23491,57.780231
2019-05-26,1,0,11.986751,57.752996
2019-05-26,0,1,17.931928,59.39047
2019-05-27,0,0,17.624212,59.806713
2019-05-28,1,0,12.044218,57.810972
2019-05-28,0,0,16.033453,64.41262
2019-05-31,0,0,14.117637,56.021287
2019-06-02,0,0,17.628055,59.81023
2019-06-02,0,0,18.106556,59.123119
2019-06-02,0,0,14.961446,57.667558
2019-06-03,0,0,11.974217,57.681693
2019-06-03,0,1,13.08425,55.633905
2019-06-03,0,0,17.911149,59.415196
2019-06-04,0,1,17.62229,59.804955
2019-06-04,0,0,18.093222,59.285196
2019-06-05,0,0,12.296423,57.70337
2019-06-06,1,0,13.002125,55.59305
2019-06-06,0,0,12.309389,58.273385
